property_id,airbnb_property_id,vrbo_property_id,listing_type,bedrooms,bathrooms,accommodates,rating,reviews,title,revenue_ltm,revenue_potential_ltm,occupancy_rate_ltm,average_daily_rate_ltm,days_available_ltm,market_id,market_name,currency,address_match_confidence,lat,lng,section
abnb_1372530724943388127,1372530724943388127,,entire_place,11,12.0,16.0,4.3,3.0,Exclusive Luxury House,190197747.72,208196871.0,42.16,1683165.96,268,12,Bogotá,cop,Medium,4.7008,-74.0675,142663
abnb_781927656049891563,781927656049891563,,entire_place,7,5.0,14.0,5.0,76.0,Excellent property - Brand new -Pepe Sierra,186803070.66,200062767.72,68.47,868851.52,314,12,Bogotá,cop,Medium,4.6989,-74.0617,142663
abnb_1031239746451185132,1031239746451185132,11529012ha,entire_place,9,10.0,12.0,5.0,27.0,"Exclusive house, spacious, luxurious, excellent location",177960692.52,185296659.68,42.45,1194367.11,351,12,Bogotá,cop,Medium,4.7006,-74.0674,142663
abnb_923463507211356039,923463507211356039,11563605ha,entire_place,6,4.5,16.0,5.0,45.0,>Inhouse Cinema in Huge Colonial Mansion ~ Chimney,149550083.64,152895775.62,67.79,617975.56,357,12,Bogotá,cop,Medium,4.7031,-74.0588,142663
abnb_1143599953459061649,1143599953459061649,,entire_place,6,4.0,16.0,4.8,30.0,®Jacuzzi Art House ~Chimney - Free Pickup AirPort,122746509.72,129333841.85,64.14,557938.69,343,12,Bogotá,cop,Medium,4.7063,-74.0616,142663
abnb_1372030665606260977,1372030665606260977,,entire_place,6,4.5,16.0,5.0,19.0,>400m2 + Inhouse Cinema - Urban Mansion - Fireplace,115986642.48,137237910.61,74.1,563041.95,278,12,Bogotá,cop,High,4.7031,-74.0587,142663
abnb_847195641797174822,847195641797174822,,entire_place,4,2.0,16.0,4.9,48.0,"Large, Luxurious House with an Excellent Location",93425493.42,99870588.22,58.46,474241.1,337,12,Bogotá,cop,Medium,4.713,-74.0691,142663
abnb_13596757,13596757,9274026ha,entire_place,5,6.5,16.0,4.8,25.0,Blue House - Luxury Bogota Home,93410749.98,95331857.07,20.21,2458177.81,188,12,Bogotá,cop,High,4.7205,-74.0754,142663
abnb_1205937927556787416,1205937927556787416,,entire_place,6,4.0,16.0,4.8,10.0,"®400m2 Gallery Jacuzzi House, Free Pickup AirPort",92953703.34,96700122.02,65.89,411299.55,343,12,Bogotá,cop,Medium,4.705,-74.058,142663
abnb_1139944965671621465,1139944965671621465,,entire_place,4,2.0,9.0,4.9,79.0,"Beautiful house in the north of Bogota, indoor fireplace and BBQ",86636139.3,91173764.69,76.66,325699.77,347,12,Bogotá,cop,Medium,4.7045,-74.0765,142663
abnb_16620028,16620028,,entire_place,4,3.5,10.0,4.9,73.0,"COMFORTABLE, SAFE AND GREAT LOCATION",85946883.48,86478679.36,53.31,445320.63,362,12,Bogotá,cop,Low,4.6953,-74.0578,142663
abnb_1021135578421526380,1021135578421526380,,entire_place,2,2.0,4.0,5.0,7.0,Luxurious apartment in Bogota,80045821.62,81925352.21,87.04,259047.97,355,12,Bogotá,cop,Low,4.74163,-74.0551,142663
abnb_982921531639788267,982921531639788267,,entire_place,6,5.0,16.0,4.8,44.0,"Entire house, super spacious, comfortable in North Bogotá",79916816.52,83388822.92,38.15,605430.41,346,12,Bogotá,cop,Medium,4.6978,-74.0583,142663
abnb_1080376864746255924,1080376864746255924,,entire_place,4,2.5,8.0,4.8,24.0,Spacious House in an Excellent Location in Northern Bogotá,78475645.26,81408484.06,67.92,333938.92,346,12,Bogotá,cop,High,4.71017,-74.07519,142663
abnb_48862290,48862290,,entire_place,3,3.0,5.0,4.6,15.0,Family Oasis in the middle of the city By Clara Inés,64495178.28,66861426.68,84.35,221632.92,345,12,Bogotá,cop,Low,4.71719,-74.06674,142663
abnb_11658147,11658147,1139432,entire_place,3,2.0,5.0,4.8,61.0,Beatiful Three Bedroom Apto with Parking,64045503.36,64045503.36,77.81,225512.33,365,12,Bogotá,cop,Low,4.70969,-74.05995,142663
abnb_50572778,50572778,10914813ha,entire_place,1,1.0,4.0,4.9,128.0,Smart luxury apartment suite with fireplace,61432228.62,61831849.56,84.25,201417.14,362,12,Bogotá,cop,Low,4.71161,-74.07042,142663
abnb_52554851,52554851,,entire_place,3,3.0,8.0,4.9,116.0,"Comfy, warm, well located first floor apartment",55682287.02,56567335.72,85.96,181968.25,356,12,Bogotá,cop,Low,4.71199,-74.06757,142663
abnb_1394334203664334572,1394334203664334572,,entire_place,4,4.0,11.0,4.7,3.0,Embassy Style ~Exclusive Twin Lofts - Safest Zone,55081491.84,81306275.16,71.82,423703.8,181,12,Bogotá,cop,Low,4.7064,-74.0735,142663
abnb_1019529943655064133,1019529943655064133,,entire_place,3,2.5,5.0,4.8,16.0,Loft apartment in Bogotá,54790308.9,58534036.9,86.57,188932.1,335,12,Bogotá,cop,Medium,4.7343,-74.0542,142663
abnb_52364882,52364882,,entire_place,3,2.0,4.0,4.8,66.0,"BEAUTIFUL APARTMENT, SAN LUIS LA COLINA VIEWPOINT",54414351.18,54414351.18,52.92,286391.32,359,12,Bogotá,cop,Low,4.7341,-74.06505,142663
abnb_1425763846037587885,1425763846037587885,,entire_place,6,4.0,16.0,4.8,13.0,Super bright full house north of Bogota,54023650.02,69729357.49,42.45,600262.79,212,12,Bogotá,cop,Low,4.698915878,-74.057313617,142663
abnb_1429840299992657734,1429840299992657734,,entire_place,4,4.0,9.0,4.9,8.0,_ Sumptuous Habana Style House ~ Peacefull Area,53865158.04,74969212.92,62.2,414347.35,209,12,Bogotá,cop,Medium,4.7087,-74.0788,142663
abnb_1098516919716089266,1098516919716089266,4013522,entire_place,1,1.0,2.0,4.9,1.0,Experience luxury and comfort!,53393367.96,53658528.73,73.74,202247.61,358,12,Bogotá,cop,Low,4.73892,-74.06066,142663
abnb_1204427342225611639,1204427342225611639,11486208ha,entire_place,2,2.0,6.0,4.8,33.0,•Brand New Duplex in Exclusive Area of Bogotá,51661013.76,52265494.8,65.08,221721.09,358,12,Bogotá,cop,Low,4.7094,-74.07175,142663
abnb_1013990147503935924,1013990147503935924,,entire_place,2,2.5,4.0,4.8,59.0,Duplex penthouse: unbeatable view and location,50687946.72,52791209.01,78.35,184319.81,351,12,Bogotá,cop,Medium,4.6962,-74.069,142663
