property_id,airbnb_property_id,vrbo_property_id,listing_type,bedrooms,bathrooms,accommodates,rating,reviews,title,revenue_ltm,revenue_potential_ltm,occupancy_rate_ltm,average_daily_rate_ltm,days_available_ltm,market_id,market_name,currency,address_match_confidence,lat,lng,section
abnb_1018960896673775256,1018960896673775256,,entire_place,3,2.5,4.0,5.0,119.0,Wonderful View: VIP Penthouse,133457618.88,137127408.53,71.35,525423.69,356,12,Bogotá,cop,Low,4.59275,-74.07068,142661
abnb_17640047,17640047,1557986a,entire_place,4,4.0,7.0,5.0,188.0,Casita de Piedra - Historic Center La Candelaria,118176043.32,123569967.7,91.14,370457.81,350,12,Bogotá,cop,Medium,4.593,-74.0704,142661
abnb_721699369592597956,721699369592597956,,entire_place,3,3.0,5.0,4.9,154.0,Centrally located penthouse with a beautiful view,107225353.26,115632062.75,67.06,474448.47,337,12,Bogotá,cop,Low,4.61875,-74.06853,142661
abnb_37747634,37747634,,entire_place,4,3.5,8.0,4.9,99.0,*BEAUTIFUL LIGHT FILLED  2-STORY HOME* LA MACARENA,101869798.68,102329646.57,55.37,506814.93,363,12,Bogotá,cop,High,4.61086,-74.06707,142661
abnb_28134373,28134373,,entire_place,2,2.0,4.0,5.0,671.0,Paraiso. La Candelaria Terrace 360 city view.,99492418.98,106763478.14,82.65,354065.55,340,12,Bogotá,cop,Low,4.59256,-74.0722,142661
abnb_674006234663483059,674006234663483059,3373083,entire_place,3,1.5,5.0,4.9,341.0,⊱La Candelaria Penthouse | Close to Everything⊰,97564714.2,101655171.05,81.43,342332.32,350,12,Bogotá,cop,Low,4.59778,-74.07211,142661
abnb_825347313511148238,825347313511148238,3371530,entire_place,2,2.0,6.0,5.0,265.0,Luxury 2BR Condo in La Candelaria | Chimney & BBQ°,89592199.02,92565545.42,85.23,298640.65,352,12,Bogotá,cop,Medium,4.6002,-74.0679,142661
abnb_708105403284985372,708105403284985372,,entire_place,2,2.0,4.0,4.9,375.0,Oasis. La Candelaria  Terrace 360 city view.,88722336.06,94940750.47,80.35,323804.15,341,12,Bogotá,cop,Medium,4.5939,-74.072,142661
abnb_1303933121944302358,1303933121944302358,,entire_place,5,4.0,15.0,4.7,19.0,Spacious boutique-style house,87590777.04,88865236.85,53.19,456201.97,361,12,Bogotá,cop,Low,4.626300582,-74.068580876,142661
abnb_1165883575468995666,1165883575468995666,,entire_place,3,2.0,5.0,4.7,48.0,Historic Apartment in La Candelaria!,84177670.68,84971088.9,55.43,423003.37,359,12,Bogotá,cop,Low,4.59454,-74.07099,142661
abnb_19948324,19948324,,entire_place,4,3.5,9.0,4.9,78.0,Unique Colonial House for 9 @ La Candelaria,82898677.26,110557776.14,60.84,476429.18,286,12,Bogotá,cop,Low,4.59406,-74.07077,142661
abnb_50075669,50075669,,entire_place,3,3.0,10.0,4.8,37.0,Large Group + Leader in downtown Bogotá,81435390.84,85866863.46,54.17,447447.22,336,12,Bogotá,cop,Medium,4.6115,-74.0709,142661
abnb_649899797417190630,649899797417190630,,entire_place,2,2.0,4.0,4.7,114.0,"2 Bedroom Apartment With Gym, Pool and Coworking",81052061.4,81563032.17,60.94,368418.46,361,12,Bogotá,cop,Low,4.61705,-74.06699,142661
abnb_885571579265412097,885571579265412097,,entire_place,3,3.0,10.0,4.8,34.0,Large Group + Leader in downtown Bogotá,80919370.44,82101794.33,56.42,400590.95,358,12,Bogotá,cop,Medium,4.6114,-74.071,142661
abnb_53834830,53834830,10987173ha,entire_place,2,2.0,4.0,5.0,296.0,Cozy Home Fireplace Views La Candelaria,79017466.68,83129928.12,76.37,298179.11,347,12,Bogotá,cop,Medium,4.5939,-74.072,142661
abnb_848541929642378307,848541929642378307,,entire_place,2,2.0,4.0,4.8,77.0,"Apt with 2 bedrooms, pool, sauna, jacuzzi and gym!",75416381.46,76821136.42,62.89,339713.42,353,12,Bogotá,cop,Low,4.61748,-74.06815,142661
vrbo_3170133,,3170133,entire_place,1,1.0,4.0,4.8,0.0,"In the heart of Bogotá, close to museums and places of interest.",69850732.86,70402211.23,77.9,247697.63,362,12,Bogotá,cop,Low,4.618946,-74.06783,142661
abnb_996525791159004503,996525791159004503,4034901,entire_place,3,3.0,7.0,4.9,64.0,Complete Casa Villalba,66363909.3,66453401.98,76.37,238719.11,364,12,Bogotá,cop,High,4.5937,-74.0735,142661
abnb_45699699,45699699,2393650,entire_place,2,2.5,4.0,4.9,128.0,New Penthouse in the heart of Bogota @adorostay,64336686.3,69596187.37,89.97,217353.66,329,12,Bogotá,cop,Medium,4.60578,-74.070068,142661
abnb_1195540438361502115,1195540438361502115,4167210,entire_place,2,3.0,6.0,4.4,41.0,NOK Stylish 2 Masters w/Patio & View,63923869.98,65283952.32,64.51,279143.56,355,12,Bogotá,cop,High,4.5926,-74.0714,142661
abnb_6874875,6874875,,entire_place,2,2.0,4.0,4.8,66.0,AMAZING & SPECTACULAR 180º-BREATHTAKING VIEW,63868582.08,64294298.91,97.79,180419.73,362,12,Bogotá,cop,Low,4.6146,-74.07091,142661
abnb_744268986943815212,744268986943815212,,entire_place,4,3.0,4.0,4.8,105.0,Luxury apartment Bogota center,61152103.26,61968226.38,82.22,206594.94,360,12,Bogotá,cop,Medium,4.6049,-74.0681,142661
abnb_1206613996915247658,1206613996915247658,,entire_place,1,1.0,4.0,5.0,48.0,Fireplace | View to Monserrate | Close to Museums,60521821.2,60685325.95,66.48,250090.17,364,12,Bogotá,cop,Medium,4.5961,-74.072,142661
abnb_558021304353484992,558021304353484992,,entire_place,2,2.5,7.0,4.8,55.0,"Skycondo downtown 19 | mountains view, & amenities",60407559.54,61765319.79,79.27,213454.27,357,12,Bogotá,cop,Low,4.60699,-74.07018,142661
abnb_812513231435876811,812513231435876811,,entire_place,2,2.0,4.0,5.0,112.0,Accommodation in a tourist area!,60145863.48,61304919.02,80.45,208839.8,358,12,Bogotá,cop,Medium,4.6182,-74.0676,142661
