property_id,airbnb_property_id,vrbo_property_id,listing_type,bedrooms,bathrooms,accommodates,rating,reviews,title,revenue_ltm,revenue_potential_ltm,occupancy_rate_ltm,average_daily_rate_ltm,days_available_ltm,market_id,market_name,currency,address_match_confidence,lat,lng,section
abnb_1182924824574142793,1182924824574142793,,entire_place,4,4.0,7.0,4.8,58.0,Royal Blue Virrey/Bogota’ PH. Great views!,318056545.26,328411379.19,79.04,1139987.62,353,12,Bogotá,cop,Medium,4.678,-74.0542,141883
abnb_10823924,10823924,4567350ha,entire_place,4,4.0,8.0,4.9,129.0,ATTIK - TOP OF THE TOP PENTHOUSE+ 100 M2 TERRACE,296254683.36,310457591.99,47.41,1795482.88,348,12,Bogotá,cop,Low,4.67513,-74.04484,141883
abnb_1084209477614779292,1084209477614779292,,entire_place,3,3.0,8.0,5.0,100.0,Amazing apartment zona T,291665787.66,357593991.45,90.24,1088305.16,297,12,Bogotá,cop,Medium,4.6735,-74.051,141883
abnb_10695304,10695304,4567330ha,entire_place,4,4.0,8.0,4.9,171.0,ATTIK - TOP OF THE TOP PENTOHUSE+100 M2 TERRACE,282694404.42,365865061.29,55.99,1777952.2,284,12,Bogotá,cop,Low,4.67398,-74.046,141883
abnb_929059735819209829,929059735819209829,4112458,entire_place,4,3.0,10.0,5.0,44.0,Exclusive apartment in the best area of ​​Bogotá,279701486.1,304672745.3,70.82,1200435.58,329,12,Bogotá,cop,Medium,4.6746,-74.0494,141883
abnb_894453011700784107,894453011700784107,3384983,entire_place,4,1.0,7.0,4.5,18.0,Lgo’s Penthouse - w/360* city & Andes range views.,270140365.26,276454169.72,72.62,1144662.55,325,12,Bogotá,cop,Low,4.67734,-74.05389,141883
abnb_1263795381036983823,1263795381036983823,,entire_place,8,5.5,16.0,4.7,9.0,Family apartments in Bogotá's Zona T,265820537.34,335610342.93,79.37,1171015.52,286,12,Bogotá,cop,Low,4.668056222,-74.057220549,141883
abnb_828352449213055918,828352449213055918,,entire_place,4,3.5,8.0,5.0,41.0,4 Bedroom Penthouse with Jacuzzi/Sauna/Terrace,258791602.32,281907841.9,69.33,1145095.64,326,12,Bogotá,cop,Medium,4.684,-74.047,141883
abnb_35577277,35577277,2374276,entire_place,4,3.5,13.0,5.0,103.0,Exclusive Pent House in the best area of ​​Bogotá,252134939.16,266115922.16,51.03,1449051.41,341,12,Bogotá,cop,Low,4.67473,-74.05011,141883
abnb_9861217,9861217,4567336ha,entire_place,2,2.5,5.0,5.0,70.0,ATTIK - TOP OF THE TOP SUPERIOR RESIDENCE,234733994.1,261907296.64,67.76,1034070.46,335,12,Bogotá,cop,Low,4.67448,-74.04588,141883
abnb_46710203,46710203,,entire_place,2,2.0,4.0,4.9,243.0,Amazing apartment+jacuzzi+Cinema+ Private Terrace,213709848.66,220368133.6,82.49,731883.01,354,12,Bogotá,cop,Medium,4.6832,-74.056,141883
abnb_1376275503629837886,1376275503629837886,,entire_place,11,8.5,16.0,,,Great accommodation in the T-Zone,204075010.62,346296646.26,87.74,1500551.57,155,12,Bogotá,cop,Low,4.668139389,-74.055570361,141883
abnb_51711557,51711557,,entire_place,7,7.5,16.0,5.0,242.0,Casa de Heroes | Ideal for Groups • Near Zona T,202423745.34,208586798.13,84.23,677002.47,355,12,Bogotá,cop,High,4.6669,-74.0602,141883
abnb_1314448061884666920,1314448061884666920,,entire_place,1,1.0,3.0,5.0,61.0,"Luxury Apt W Jacuzzi, Sauna Private Terrace Zona T",195114684.96,202860003.73,75.5,736281.79,351,12,Bogotá,cop,Medium,4.67,-74.0535,141883
abnb_1301786916398451737,1301786916398451737,,entire_place,1,1.0,4.0,5.0,66.0,Lux apt  W Sauna Jacuzzi on private terrace Zona T,192365033.4,203102791.33,67.83,822072.84,345,12,Bogotá,cop,Medium,4.67,-74.0535,141883
abnb_9860959,9860959,,entire_place,2,2.5,5.0,5.0,53.0,ATTIK - TOP OF THE TOP SUPERIOR RESIDENCE,192295002.06,206622603.33,60.88,996347.19,317,12,Bogotá,cop,Low,4.674,-74.04572,141883
abnb_1077433665589357659,1077433665589357659,,entire_place,7,4.0,16.0,4.7,24.0,2 awesome aptos same building 102 / 501,183017692.44,190545213.74,61.47,843399.52,353,12,Bogotá,cop,High,4.6669,-74.0567,141883
abnb_995848140646933228,995848140646933228,,entire_place,1,1.0,4.0,5.0,30.0,Master Apt W/ Sauna + Jacuzzi on private terrace,181215306.9,191187806.57,62.79,838959.75,344,12,Bogotá,cop,Medium,4.6714,-74.0526,141883
abnb_5192758,5192758,4218716,entire_place,1,2.0,2.0,4.8,356.0,"Beautiful duplex penthouse, jacuzzi",179210199.06,182323939.87,64.8,772457.73,358,12,Bogotá,cop,Medium,4.6631,-74.0462,141883
abnb_851595533138144298,851595533138144298,,entire_place,4,3.5,7.0,5.0,30.0,Apartach Magnificent Penthouse 401,175826579.58,200609454.47,62.5,950413.97,296,12,Bogotá,cop,High,4.64688,-74.0599,141883
abnb_9861182,9861182,4567332ha,entire_place,2,2.5,4.0,5.0,90.0,ATTIK - TOP OF THE TOP SUPERIOR RESIDENCE+BALCONY,172358185.32,193856848.38,56.55,973775.02,313,12,Bogotá,cop,Low,4.67386,-74.04637,141883
abnb_713577988820573593,713577988820573593,,entire_place,3,3.5,6.0,4.8,59.0,Luxury 3-bedroom apartment with great amenities!,163231995.96,182595735.19,64.76,800156.86,315,12,Bogotá,cop,Low,4.68328,-74.05116,141883
abnb_944873573373191726,944873573373191726,,entire_place,2,2.0,4.0,5.0,41.0,"Virrey Park facing 2BR, 2Bath, Parking, Fast WI-FI",162808122.06,165822086.64,92.18,493357.96,358,12,Bogotá,cop,Medium,4.674,-74.0575,141883
abnb_774874472008061272,774874472008061272,,entire_place,4,3.5,8.0,4.8,73.0,Luxurious penthouse in Virrey Park,162170468.28,164969215.5,56.15,806818.24,358,12,Bogotá,cop,Low,4.67239,-74.05561,141883
abnb_1186526131213658315,1186526131213658315,,entire_place,1,1.5,4.0,5.0,23.0,Chico Luxury Apt + Jacuzzi on Private Terrace,161945630.82,179022809.94,77.91,637581.24,326,12,Bogotá,cop,Low,4.68344,-74.05309,141883
abnb_1187756351136844142,1187756351136844142,,entire_place,3,2.5,8.0,4.9,76.0,Beautiful apartment la Cabrera,160869359.7,175851680.29,71.0,684550.45,331,12,Bogotá,cop,Medium,4.669,-74.0502,141883
abnb_812114693150746368,812114693150746368,,entire_place,3,3.5,8.0,4.7,13.0,Beautiful and luxurious penthouse in northern Bogota,160618721.22,169771485.63,75.29,620149.48,344,12,Bogotá,cop,Low,4.68563,-74.05077,141883
abnb_995511599632237075,995511599632237075,,entire_place,1,1.0,4.0,4.9,69.0,"Luxury Apt with Jacuzzi, Sauna & Private Terrace",160386512.04,190122998.48,67.14,853119.72,280,12,Bogotá,cop,Medium,4.6714,-74.0526,141883
abnb_9859607,9859607,4608934ha,entire_place,1,1.5,3.0,5.0,56.0,ATTIK - TOP OF THE TOP TERRACE SUITE,155981909.34,203523900.83,77.89,702621.23,285,12,Bogotá,cop,Low,4.67597,-74.04603,141883
vrbo_4608933ha,,4608933ha,entire_place,2,2.5,5.0,5.0,1.0,ATTIK SUPERIOR 502/Great Location/WiFi/ High Cleanliness Stdr/ Self Check In-Out,153527126.58,214673737.91,54.39,1180977.85,239,12,Bogotá,cop,Low,4.67473,-74.04544,141883
abnb_1420466947340697154,1420466947340697154,,entire_place,5,5.0,14.0,5.0,3.0,Top house | The Tree in the Heart of Rosales,153070079.94,206903023.56,90.5,944876.99,179,12,Bogotá,cop,Medium,4.655320466,-74.05036505,141883
abnb_1004245963672163861,1004245963672163861,,entire_place,4,3.0,12.0,4.8,24.0,Zone T - Nordic-style apartment,151580992.5,161424081.63,64.43,685886.83,343,12,Bogotá,cop,Low,4.66978,-74.05548,141883
abnb_965964863072783334,965964863072783334,,entire_place,4,3.0,12.0,4.9,73.0,Nordic-style apartment,151422500.52,162052004.74,67.06,664133.74,340,12,Bogotá,cop,High,4.6688,-74.0564,141883
abnb_1430825896651108395,1430825896651108395,,entire_place,2,2.0,4.0,4.9,36.0,"Autumn Ember Oasis - Jacuzzi, Sauna and 4k Theater",149310502.74,165975270.98,76.21,951022.28,206,12,Bogotá,cop,Medium,4.6789,-74.0526,141883
abnb_857419383128461395,857419383128461395,,entire_place,5,6.5,16.0,5.0,41.0,Q.47 • Beautiful heritage house with garden,140512354.92,202928339.57,73.68,836383.08,228,12,Bogotá,cop,Low,4.63464,-74.06398,141883
abnb_878387369552832203,878387369552832203,,entire_place,1,1.0,4.0,4.9,95.0,93 Park ApartaSuite + Jacuzzi on private terrace,139509801.0,143434357.29,60.28,651914.96,355,12,Bogotá,cop,Medium,4.6792,-74.0525,141883
abnb_878476243827134462,878476243827134462,,entire_place,1,1.0,4.0,4.9,38.0,Emerald Canopy Jacuzzi Sanctuary at 93 park,137932252.92,141442260.54,59.83,647569.26,356,12,Bogotá,cop,Medium,4.678972,-74.0525843,141883
abnb_866836757017138395,866836757017138395,,entire_place,5,5.5,9.0,5.0,2.0,Spectacular triplex apartment,136421050.32,165739191.65,92.73,668730.63,220,12,Bogotá,cop,Medium,4.6661,-74.0441,141883
abnb_1372606345345661482,1372606345345661482,,entire_place,4,2.5,14.0,4.8,13.0,Modern apartment in Bogotá's Zona T,135532758.06,149305305.68,65.84,732609.5,281,12,Bogotá,cop,Low,4.669441462,-74.057245839,141883
abnb_1421113909891384665,1421113909891384665,,entire_place,4,4.0,10.0,5.0,3.0,Top Ph + Apartment: El Árbol heart of Rosales,135223145.82,210193280.21,81.07,809719.42,206,12,Bogotá,cop,Medium,4.6554,-74.0506,141883
abnb_33100219,33100219,,entire_place,2,2.5,4.0,4.9,228.0,Cultural apartment with orchard included in the best area of Bogotá,133549765.38,139697042.69,80.52,475266.03,349,12,Bogotá,cop,Low,4.67182,-74.04458,141883
abnb_32046599,32046599,,entire_place,3,3.0,5.0,4.7,3.0,Rosales Privé | Silent Luxury & Security in Bogotá,133546079.52,142303977.75,88.92,449650.08,334,12,Bogotá,cop,Low,4.65933,-74.04868,141883
abnb_895116473323305208,895116473323305208,,entire_place,2,2.5,6.0,5.0,137.0,Beautiful apartment in La Cabrera,132241285.08,138131436.79,65.9,574962.09,349,12,Bogotá,cop,Medium,4.6692,-74.0504,141883
abnb_19838956,19838956,,entire_place,2,2.5,4.0,4.6,5.0,Spacious 2-bedroom apartment with city views,131474626.2,152680631.97,32.09,1528774.79,268,12,Bogotá,cop,Low,4.66466,-74.05387,141883
abnb_1019723093631367188,1019723093631367188,,entire_place,2,2.5,6.0,4.8,51.0,Stylish 2 bedroom near Parque 93. FREE Parking.,129473204.22,130276611.12,87.88,405872.12,363,12,Bogotá,cop,High,4.6802,-74.0461,141883
abnb_1045049576921889256,1045049576921889256,,entire_place,1,0.0,2.0,4.5,2.0,"Cozy 1BD Apt, equipped",128879780.76,151407167.34,57.14,685530.74,329,12,Bogotá,cop,Medium,4.664,-74.0529,141883
